Date,Time,Player_count
9/24/2023,0:00,2711248
9/24/2023,0:05,2726267
9/24/2023,0:10,2712687
9/24/2023,0:15,2745816
9/24/2023,0:20,2756843
9/24/2023,0:25,2768107
9/24/2023,0:30,2777797
9/24/2023,0:35,2786147
9/24/2023,0:40,2791525
9/24/2023,0:45,2791460
9/24/2023,0:50,2792515
9/24/2023,0:55,2791291
9/24/2023,1:00,2786158
9/24/2023,1:05,2778371
9/24/2023,1:10,2765482
9/24/2023,1:15,2746850
9/24/2023,1:20,2724290
9/24/2023,1:25,2703377
9/24/2023,1:30,2694761
9/24/2023,1:35,2678862
9/24/2023,1:40,2656273
9/24/2023,1:45,2630650
9/24/2023,1:50,2603747
9/24/2023,1:55,2575672
9/24/2023,2:00,2518914
9/24/2023,2:05,2502008
9/24/2023,2:10,2465362
9/24/2023,2:15,2423010
9/24/2023,2:20,2379869
9/24/2023,2:25,2341661
9/24/2023,2:30,2304558
9/24/2023,2:35,2266762
9/24/2023,2:40,2227849
9/24/2023,2:45,2187648
9/24/2023,2:50,2147264
9/24/2023,2:55,2109835
9/24/2023,3:00,2071561
9/24/2023,3:05,2032915
9/24/2023,3:10,1993042
9/24/2023,3:15,1951414
9/24/2023,3:20,1909879
9/24/2023,3:25,1873049
9/24/2023,3:30,1839080
9/24/2023,3:35,1807837
9/24/2023,3:40,1775960
9/24/2023,3:45,1745405
9/24/2023,3:50,1718530
9/24/2023,3:55,1692518
9/24/2023,4:00,1667061
9/24/2023,4:05,1642784
9/24/2023,4:10,1618158
9/24/2023,4:15,1593780
9/24/2023,4:20,1570115
9/24/2023,4:25,1548410
9/24/2023,4:30,1527471
9/24/2023,4:35,1506956
9/24/2023,4:40,1486694
9/24/2023,4:45,1467198
9/24/2023,4:50,1448377
9/24/2023,4:55,1431122
9/24/2023,5:00,1413993
9/24/2023,5:05,1396877
9/24/2023,5:10,1380422
9/24/2023,5:15,1363704
9/24/2023,5:20,1346798
9/24/2023,5:25,1331351
9/24/2023,5:30,1317816
9/24/2023,5:35,1303324
9/24/2023,5:40,1288765
9/24/2023,5:45,1276313
9/24/2023,5:50,1264809
9/24/2023,5:55,1252541
9/24/2023,6:00,1241051
9/24/2023,6:05,1230083
9/24/2023,6:10,1218361
9/24/2023,6:15,1207193
9/24/2023,6:20,1196041
9/24/2023,6:25,1186149
9/24/2023,6:30,1175724
9/24/2023,6:35,1166330
9/24/2023,6:40,1156684
9/24/2023,6:45,1146835
9/24/2023,6:50,1138168
9/24/2023,6:55,1130566
9/24/2023,7:00,1121803
9/24/2023,7:05,1113607
9/24/2023,7:10,1104925
9/24/2023,7:15,1095896
9/24/2023,7:20,1086544
9/24/2023,7:25,1077530
9/24/2023,7:30,1069802
9/24/2023,7:35,1061940
9/24/2023,7:40,1052689
9/24/2023,7:45,1044591
9/24/2023,7:50,1036261
9/24/2023,7:55,1028211
9/24/2023,8:00,1018954
9/24/2023,8:05,1010019
9/24/2023,8:10,1000602
9/24/2023,8:15,990351
9/24/2023,8:20,980054
9/24/2023,8:25,970815
9/24/2023,8:30,961527
9/24/2023,8:35,947653
9/24/2023,8:40,942640
9/24/2023,8:45,932673
9/24/2023,8:50,922678
9/24/2023,8:55,913154
9/24/2023,9:00,902231
9/24/2023,9:05,891364
9/24/2023,9:10,878777
9/24/2023,9:15,865081
9/24/2023,9:20,849891
9/24/2023,9:25,837035
9/24/2023,9:30,824195
9/24/2023,9:35,811326
9/24/2023,9:40,797700
9/24/2023,9:45,784071
9/24/2023,9:50,769623
9/24/2023,9:55,755588
9/24/2023,10:00,740837
9/24/2023,10:05,724413
9/24/2023,10:10,705281
9/24/2023,10:15,683687
9/24/2023,10:20,654278
9/24/2023,10:25,637816
9/24/2023,10:30,625798
9/24/2023,10:35,615519
9/24/2023,10:40,605285
9/24/2023,10:45,596266
9/24/2023,10:50,587196
9/24/2023,10:55,579185
9/24/2023,11:00,570775
9/24/2023,11:05,562361
9/24/2023,11:10,554129
9/24/2023,11:15,545620
9/24/2023,11:20,534765
9/24/2023,11:25,530343
9/24/2023,11:30,528510
9/24/2023,11:35,527795
9/24/2023,11:40,528296
9/24/2023,11:45,529462
9/24/2023,11:50,531551
9/24/2023,11:55,534263
9/24/2023,12:00,537803
9/24/2023,12:05,541848
9/24/2023,12:10,545795
9/24/2023,12:15,550141
9/24/2023,12:20,555319
9/24/2023,12:25,561352
9/24/2023,12:30,569034
9/24/2023,12:35,577044
9/24/2023,12:40,0
9/24/2023,12:45,599823
9/24/2023,12:50,609938
9/24/2023,12:55,619976
9/24/2023,13:00,631166
9/24/2023,13:05,642328
9/24/2023,13:10,654103
9/24/2023,13:15,667394
9/24/2023,13:20,681384
9/24/2023,13:25,695839
9/24/2023,13:30,711154
9/24/2023,13:35,727024
9/24/2023,13:40,743277
9/24/2023,13:45,759360
9/24/2023,13:50,775064
9/24/2023,13:55,790802
9/24/2023,14:00,805639
9/24/2023,14:05,820353
9/24/2023,14:10,833928
9/24/2023,14:15,846658
9/24/2023,14:20,859411
9/24/2023,14:25,872579
9/24/2023,14:30,886210
9/24/2023,14:35,899464
9/24/2023,14:40,911678
9/24/2023,14:45,923351
9/24/2023,14:50,936376
9/24/2023,14:55,949730
9/24/2023,15:00,964019
9/24/2023,15:05,979093
9/24/2023,15:10,995251
9/24/2023,15:15,1013148
9/24/2023,15:20,1036677
9/24/2023,15:25,1063777
9/24/2023,15:30,1094090
9/24/2023,15:35,1126079
9/24/2023,15:40,1158334
9/24/2023,15:45,1189353
9/24/2023,15:50,1219628
9/24/2023,15:55,1249839
9/24/2023,16:00,1278320
9/24/2023,16:05,1304540
9/24/2023,16:10,1328714
9/24/2023,16:15,1353029
9/24/2023,16:20,1378153
9/24/2023,16:25,1402800
9/24/2023,16:30,1426750
9/24/2023,16:35,1450219
9/24/2023,16:40,1472503
9/24/2023,16:45,1494145
9/24/2023,16:50,1515768
9/24/2023,16:55,1535973
9/24/2023,17:00,1554518
9/24/2023,17:05,1571974
9/24/2023,17:10,1588890
9/24/2023,17:15,1606209
9/24/2023,17:20,1623224
9/24/2023,17:25,1641314
9/24/2023,17:30,1660094
9/24/2023,17:35,1679944
9/24/2023,17:40,1698453
9/24/2023,17:45,1718581
9/24/2023,17:50,1739889
9/24/2023,17:55,1751156
9/24/2023,18:00,1775753
9/24/2023,18:05,1796434
9/24/2023,18:10,1815533
9/24/2023,18:15,1835477
9/24/2023,18:20,1854881
9/24/2023,18:25,1873362
9/24/2023,18:30,1891021
9/24/2023,18:35,1908728
9/24/2023,18:40,1925569
9/24/2023,18:45,1940823
9/24/2023,18:50,1956203
9/24/2023,18:55,1969966
9/24/2023,19:00,1981791
9/24/2023,19:05,1992539
9/24/2023,19:10,2002338
9/24/2023,19:15,2011719
9/24/2023,19:20,2020941
9/24/2023,19:25,2030365
9/24/2023,19:30,2036714
9/24/2023,19:35,2043605
9/24/2023,19:40,2047641
9/24/2023,19:45,2050551
9/24/2023,19:50,2053135
9/24/2023,19:55,2053918
9/24/2023,20:00,2052078
9/24/2023,20:05,2049290
9/24/2023,20:10,2042701
9/24/2023,20:15,2034286
9/24/2023,20:20,2026627
9/24/2023,20:25,2018516
9/24/2023,20:30,2009463
9/24/2023,20:35,1999112
9/24/2023,20:40,1988380
9/24/2023,20:45,1977388
9/24/2023,20:50,1967922
9/24/2023,20:55,1960366
9/24/2023,21:00,1954307
9/24/2023,21:05,1949967
9/24/2023,21:10,1945577
9/24/2023,21:15,1943436
9/24/2023,21:20,1945420
9/24/2023,21:25,1947906
9/24/2023,21:30,1960055
9/24/2023,21:35,1973453
9/24/2023,21:40,1989150
9/24/2023,21:45,2007035
9/24/2023,21:50,2029228
9/24/2023,21:55,2054077
9/24/2023,22:00,2080578
9/24/2023,22:05,2108750
9/24/2023,22:10,2140041
9/24/2023,22:15,2173469
9/24/2023,22:20,2209559
9/24/2023,22:25,2248386
9/24/2023,22:30,2288933
9/24/2023,22:35,2328983
9/24/2023,22:40,2367430
9/24/2023,22:45,2407836
9/24/2023,22:50,2449499
9/24/2023,22:55,2488889
9/24/2023,23:00,2529767
9/24/2023,23:05,2568409
9/24/2023,23:10,2604243
9/24/2023,23:15,2639368
9/24/2023,23:20,2674930
9/24/2023,23:25,2709334
9/24/2023,23:30,2744301
9/24/2023,23:35,2776762
9/24/2023,23:40,2805520
9/24/2023,23:45,2832050
9/24/2023,23:50,2857097
9/24/2023,23:55,2881648
9/25/2023,0:00,2903883
9/25/2023,0:05,2920060
9/25/2023,0:10,2934307
9/25/2023,0:15,2945286
9/25/2023,0:20,2956802
9/25/2023,0:25,2969366
9/25/2023,0:30,2979162
9/25/2023,0:35,2986236
9/25/2023,0:40,2987585
9/25/2023,0:45,2987033
9/25/2023,0:50,2984472
9/25/2023,0:55,2980563
9/25/2023,1:00,2972342
9/25/2023,1:05,2960549
9/25/2023,1:10,2941630
9/25/2023,1:15,2919687
9/25/2023,1:20,2897894
9/25/2023,1:25,2873099
9/25/2023,1:30,2848570
9/25/2023,1:35,2819320
9/25/2023,1:40,2786015
9/25/2023,1:45,2749633
9/25/2023,1:50,2713303
9/25/2023,1:55,2673872
9/25/2023,2:00,2630732
9/25/2023,2:05,2584830
9/25/2023,2:10,2534894
9/25/2023,2:15,2481282
9/25/2023,2:20,2434574
9/25/2023,2:25,2390947
9/25/2023,2:30,2346556
9/25/2023,2:35,2300120
9/25/2023,2:40,2253364
9/25/2023,2:45,2205459
9/25/2023,2:50,2161840
9/25/2023,2:55,2117615
9/25/2023,3:00,2072608
9/25/2023,3:05,2028012
9/25/2023,3:10,1981938
9/25/2023,3:15,1929684
9/25/2023,3:20,1888843
9/25/2023,3:25,1850856
9/25/2023,3:30,1814042
9/25/2023,3:35,1779028
9/25/2023,3:40,1746479
9/25/2023,3:45,1715615
9/25/2023,3:50,1687223
9/25/2023,3:55,1659389
9/25/2023,4:00,1631218
9/25/2023,4:05,1603689
9/25/2023,4:10,1576628
9/25/2023,4:15,1551100
9/25/2023,4:20,1526294
9/25/2023,4:25,1502393
9/25/2023,4:30,1480740
9/25/2023,4:35,1459404
9/25/2023,4:40,1438870
9/25/2023,4:45,1419918
9/25/2023,4:50,1401915
9/25/2023,4:55,1384031
9/25/2023,5:00,1366975
9/25/2023,5:05,1350075
9/25/2023,5:10,1333704
9/25/2023,5:15,1317253
9/25/2023,5:20,1301727
9/25/2023,5:25,1286818
9/25/2023,5:30,1273514
9/25/2023,5:35,1258876
9/25/2023,5:40,1245255
9/25/2023,5:45,1233327
9/25/2023,5:50,1222078
9/25/2023,5:55,1210598
9/25/2023,6:00,1199609
9/25/2023,6:05,1188073
9/25/2023,6:10,1175972
9/25/2023,6:15,1164832
9/25/2023,6:20,1154174
9/25/2023,6:25,1144053
9/25/2023,6:30,1134399
9/25/2023,6:35,1125497
9/25/2023,6:40,1115413
9/25/2023,6:45,1107030
9/25/2023,6:50,1098730
9/25/2023,6:55,1090058
9/25/2023,7:00,1081484
9/25/2023,7:05,1072077
9/25/2023,7:10,1062883
9/25/2023,7:15,1054108
9/25/2023,7:20,1045352
9/25/2023,7:25,1036865
9/25/2023,7:30,1028322
9/25/2023,7:35,1019390
9/25/2023,7:40,1009404
9/25/2023,7:45,1001059
9/25/2023,7:50,993010
9/25/2023,7:55,984718
9/25/2023,8:00,976216
9/25/2023,8:05,967671
9/25/2023,8:10,958946
9/25/2023,8:15,949822
9/25/2023,8:20,941208
9/25/2023,8:25,932456
9/25/2023,8:30,923215
9/25/2023,8:35,913625
9/25/2023,8:40,904153
9/25/2023,8:45,894859
9/25/2023,8:50,885766
9/25/2023,8:55,875786
9/25/2023,9:00,865037
9/25/2023,9:05,853104
9/25/2023,9:10,839884
9/25/2023,9:15,826101
9/25/2023,9:20,812759
9/25/2023,9:25,801638
9/25/2023,9:30,789254
9/25/2023,9:35,776505
9/25/2023,9:40,762850
9/25/2023,9:45,748300
9/25/2023,9:50,734877
9/25/2023,9:55,720778
9/25/2023,10:00,705082
9/25/2023,10:05,687714
9/25/2023,10:10,667309
9/25/2023,10:15,639447
9/25/2023,10:20,620362
9/25/2023,10:25,0
9/25/2023,10:30,603498
9/25/2023,10:35,592888
9/25/2023,10:40,583025
9/25/2023,10:45,574543
9/25/2023,10:50,565488
9/25/2023,10:55,558086
9/25/2023,11:00,550723
9/25/2023,11:05,542945
9/25/2023,11:10,534354
9/25/2023,11:15,525643
9/25/2023,11:20,514993
9/25/2023,11:25,510882
9/25/2023,11:30,509818
9/25/2023,11:35,510474
9/25/2023,11:40,511764
9/25/2023,11:45,513437
9/25/2023,11:50,516704
9/25/2023,11:55,520683
9/25/2023,12:00,525206
9/25/2023,12:05,529702
9/25/2023,12:10,534157
9/25/2023,12:15,539458
9/25/2023,12:20,544778
9/25/2023,12:25,551886
9/25/2023,12:30,559471
9/25/2023,12:35,567647
9/25/2023,12:40,575825
9/25/2023,12:45,584848
9/25/2023,12:50,594579
9/25/2023,12:55,605124
9/25/2023,13:00,616726
9/25/2023,13:05,628114
9/25/2023,13:10,640474
9/25/2023,13:15,653527
9/25/2023,13:20,667252
9/25/2023,13:25,682176
9/25/2023,13:30,698255
9/25/2023,13:35,714685
9/25/2023,13:40,731057
9/25/2023,13:45,747263
9/25/2023,13:50,763096
9/25/2023,13:55,779191
9/25/2023,14:00,794083
9/25/2023,14:05,808731
9/25/2023,14:10,822269
9/25/2023,14:15,835406
9/25/2023,14:20,848529
9/25/2023,14:25,861088
9/25/2023,14:30,874616
9/25/2023,14:35,887247
9/25/2023,14:40,899043
9/25/2023,14:45,911306
9/25/2023,14:50,923962
9/25/2023,14:55,938173
9/25/2023,15:00,952820
9/25/2023,15:05,968606
9/25/2023,15:10,984633
9/25/2023,15:15,1002976
9/25/2023,15:20,1024236
9/25/2023,15:25,1051152
9/25/2023,15:30,1082289
9/25/2023,15:35,1115270
9/25/2023,15:40,1148259
9/25/2023,15:45,1179859
9/25/2023,15:50,1211601
9/25/2023,15:55,1242731
9/25/2023,16:00,1271331
9/25/2023,16:05,1299161
9/25/2023,16:10,1324618
9/25/2023,16:15,1350486
9/25/2023,16:20,1374425
9/25/2023,16:25,1398157
9/25/2023,16:30,1421284
9/25/2023,16:35,1444546
9/25/2023,16:40,1466388
9/25/2023,16:45,1487416
9/25/2023,16:50,1507495
9/25/2023,16:55,1526314
9/25/2023,17:00,1543857
9/25/2023,17:05,1561150
9/25/2023,17:10,1576190
9/25/2023,17:15,1591334
9/25/2023,17:20,1606935
9/25/2023,17:25,1624164
9/25/2023,17:30,1643030
9/25/2023,17:35,1661334
9/25/2023,17:40,1681696
9/25/2023,17:45,1701858
9/25/2023,17:50,1721309
9/25/2023,17:55,1742404
9/25/2023,18:00,1763035
9/25/2023,18:05,1782736
9/25/2023,18:10,1801448
9/25/2023,18:15,1819315
9/25/2023,18:20,1836753
9/25/2023,18:25,1854255
9/25/2023,18:30,1870990
9/25/2023,18:35,1887713
9/25/2023,18:40,1903959
9/25/2023,18:45,1917825
9/25/2023,18:50,1932552
9/25/2023,18:55,1945592
9/25/2023,19:00,1958033
9/25/2023,19:05,1970219
9/25/2023,19:10,1980395
9/25/2023,19:15,1985578
9/25/2023,19:20,1992454
9/25/2023,19:25,1997977
9/25/2023,19:30,2005750
9/25/2023,19:35,2014335
9/25/2023,19:40,2020085
9/25/2023,19:45,2025136
9/25/2023,19:50,2029393
9/25/2023,19:55,2032646
9/25/2023,20:00,2032650
9/25/2023,20:05,2031310
9/25/2023,20:10,2027963
9/25/2023,20:15,2022462
9/25/2023,20:20,2014432
9/25/2023,20:25,2007544
9/25/2023,20:30,2000679
9/25/2023,20:35,1985057
9/25/2023,20:40,1970088
9/25/2023,20:45,1952510
9/25/2023,20:50,1942161
9/25/2023,20:55,1935013
9/25/2023,21:00,1929533
9/25/2023,21:05,1924470
9/25/2023,21:10,1919649
9/25/2023,21:15,1917148
9/25/2023,21:20,1917021
9/25/2023,21:25,1922356
9/25/2023,21:30,1931041
9/25/2023,21:35,1944093
9/25/2023,21:40,1959936
9/25/2023,21:45,1977746
9/25/2023,21:50,1999878
9/25/2023,21:55,2025070
9/25/2023,22:00,2052055
9/25/2023,22:05,2080836
9/25/2023,22:10,2111396
9/25/2023,22:15,2143796
9/25/2023,22:20,2176827
9/25/2023,22:25,2213512
9/25/2023,22:30,2251564
9/25/2023,22:35,2292336
9/25/2023,22:40,2334084
9/25/2023,22:45,2375121
9/25/2023,22:50,2418059
9/25/2023,22:55,2451045
9/25/2023,23:00,2495147
9/25/2023,23:05,2523588
9/25/2023,23:10,2542854
9/25/2023,23:15,2564186
9/25/2023,23:20,2587150
9/25/2023,23:25,2609656
9/25/2023,23:30,2651903
9/25/2023,23:35,2695313
9/25/2023,23:40,2723967
9/25/2023,23:45,2757246
9/25/2023,23:50,2786126
9/25/2023,23:55,2815381
9/26/2023,0:00,2839565
9/26/2023,0:05,2863155
9/26/2023,0:10,2880522
9/26/2023,0:15,2894560
9/26/2023,0:20,2905482
9/26/2023,0:25,2919243
9/26/2023,0:30,2932654
9/26/2023,0:35,2943115
9/26/2023,0:40,2948821
9/26/2023,0:45,2950153
9/26/2023,0:50,2948824
9/26/2023,0:55,2947201
9/26/2023,1:00,2940044
9/26/2023,1:05,2929702
9/26/2023,1:10,2911997
9/26/2023,1:15,2890043
9/26/2023,1:20,2865439
9/26/2023,1:25,2843129
9/26/2023,1:30,2819111
9/26/2023,1:35,2793399
9/26/2023,1:40,2762052
9/26/2023,1:45,2724922
9/26/2023,1:50,2688944
9/26/2023,1:55,2652897
9/26/2023,2:00,2614824
9/26/2023,2:05,2573977
9/26/2023,2:10,2529045
9/26/2023,2:15,2479663
9/26/2023,2:20,2431574
9/26/2023,2:25,2390462
9/26/2023,2:30,2347621
9/26/2023,2:35,2305556
9/26/2023,2:40,2260039
9/26/2023,2:45,0
9/26/2023,2:50,2148355
9/26/2023,2:55,2105269
9/26/2023,3:00,2062126
9/26/2023,3:05,2018404
9/26/2023,3:10,1973724
9/26/2023,3:15,1927023
9/26/2023,3:20,1883190
9/26/2023,3:25,1844278
9/26/2023,3:30,1808444
9/26/2023,3:35,1773379
9/26/2023,3:40,1739656
9/26/2023,3:45,1708770
9/26/2023,3:50,1680536
9/26/2023,3:55,1653524
9/26/2023,4:00,1626332
9/26/2023,4:05,1600115
9/26/2023,4:10,1574378
9/26/2023,4:15,1549916
9/26/2023,4:20,1525076
9/26/2023,4:25,1502713
9/26/2023,4:30,1481553
9/26/2023,4:35,1460377
9/26/2023,4:40,1439094
9/26/2023,4:45,1419748
9/26/2023,4:50,1401323
9/26/2023,4:55,1383994
9/26/2023,5:00,1367085
9/26/2023,5:05,1350172
9/26/2023,5:10,1332823
9/26/2023,5:15,1316149
9/26/2023,5:20,1300525
9/26/2023,5:25,1285787
9/26/2023,5:30,1271419
9/26/2023,5:35,1257871
9/26/2023,5:40,1244967
9/26/2023,5:45,1231747
9/26/2023,5:50,1220013
9/26/2023,5:55,1207941
9/26/2023,6:00,1196961
9/26/2023,6:05,1185456
9/26/2023,6:10,1173571
9/26/2023,6:15,1162238
9/26/2023,6:20,1145061
9/26/2023,6:25,1132857
9/26/2023,6:30,1124852
9/26/2023,6:35,1115854
9/26/2023,6:40,1107189
9/26/2023,6:45,1098203
9/26/2023,6:50,1089924
9/26/2023,6:55,1080763
9/26/2023,7:00,1071983
9/26/2023,7:05,1063473
9/26/2023,7:10,1054452
9/26/2023,7:15,1045006
9/26/2023,7:20,1035941
9/26/2023,7:25,1027600
9/26/2023,7:30,1019097
9/26/2023,7:35,1010856
9/26/2023,7:40,1002391
9/26/2023,7:45,994453
9/26/2023,7:50,986588
9/26/2023,7:55,978570
9/26/2023,8:00,969924
9/26/2023,8:05,960690
9/26/2023,8:10,951115
9/26/2023,8:15,940886
9/26/2023,8:20,932862
9/26/2023,8:25,924186
9/26/2023,8:30,915229
9/26/2023,8:35,905716
9/26/2023,8:40,896004
9/26/2023,8:45,886023
9/26/2023,8:50,877005
9/26/2023,8:55,867476
9/26/2023,9:00,857457
9/26/2023,9:05,847134
9/26/2023,9:10,835274
9/26/2023,9:15,821802
9/26/2023,9:20,809573
9/26/2023,9:25,797352
9/26/2023,9:30,785560
9/26/2023,9:35,773454
9/26/2023,9:40,760380
9/26/2023,9:45,746623
9/26/2023,9:50,732189
9/26/2023,9:55,717920
9/26/2023,10:00,701964
9/26/2023,10:05,683909
9/26/2023,10:10,663834
9/26/2023,10:15,635319
9/26/2023,10:20,615602
9/26/2023,10:25,603950
9/26/2023,10:30,593858
9/26/2023,10:35,584238
9/26/2023,10:40,574878
9/26/2023,10:45,565766
9/26/2023,10:50,557694
9/26/2023,10:55,550034
9/26/2023,11:00,542522
9/26/2023,11:05,534614
9/26/2023,11:10,526727
9/26/2023,11:15,516946
9/26/2023,11:20,511578
9/26/2023,11:25,510785
9/26/2023,11:30,511376
9/26/2023,11:35,513251
9/26/2023,11:40,515665
9/26/2023,11:45,519060
9/26/2023,11:50,523433
9/26/2023,11:55,528709
9/26/2023,12:00,534373
9/26/2023,12:05,539771
9/26/2023,12:10,545025
9/26/2023,12:15,550845
9/26/2023,12:20,557963
9/26/2023,12:25,566790
9/26/2023,12:30,575777
9/26/2023,12:35,585045
9/26/2023,12:40,594750
9/26/2023,12:45,604224
9/26/2023,12:50,615104
9/26/2023,12:55,626485
9/26/2023,13:00,638214
9/26/2023,13:05,650837
9/26/2023,13:10,663303
9/26/2023,13:15,674034
9/26/2023,13:20,685981
9/26/2023,13:25,699331
9/26/2023,13:30,714055
9/26/2023,13:35,728851
9/26/2023,13:40,743783
9/26/2023,13:45,758838
9/26/2023,13:50,774355
9/26/2023,13:55,790179
9/26/2023,14:00,804628
9/26/2023,14:05,818956
